job_id,skill
1,aws
1,python
1,r
1,scala
1,spark
1,sql
2,aws
2,python
2,spark
3,aws
3,python
3,spark
3,sql
4,aws
4,databricks
4,gcp
4,python
4,snowflake
4,sql
5,aws
5,gcp
5,r
5,sql
6,python
6,sql
7,python
7,sql
7,tableau
8,python
8,r
8,snowflake
8,sql
8,tableau
9,gcp
9,python
9,scikit
9,sql
9,tensorflow
9,xgboost
10,aws
10,azure
10,gcp
10,python
10,sql
11,aws
11,python
